"activity_id" "subject_id" "mean"
"walking" 1 -0.431362808379042
"walking" 2 -0.319105810200331
"walking" 3 -0.387039462708526
"walking" 4 -0.392462305124704
"walking" 5 -0.238252786596887
"walking" 6 -0.344467185711278
"walking" 7 -0.296069242216572
"walking" 8 -0.269246614467575
"walking" 9 -0.390645069107342
"walking" 10 -0.364790874513271
"walking" 11 -0.264740563299977
"walking" 12 -0.31991576565687
"walking" 13 -0.293498930224952
"walking" 14 -0.460842122215599
"walking" 15 -0.392008755561813
"walking" 16 -0.378188881098889
"walking" 17 -0.40473633549106
"walking" 18 -0.395166519271359
"walking" 19 -0.360274461039827
"walking" 20 -0.385501824502105
"walking" 21 -0.370064560451453
"walking" 22 -0.385708093716054
"walking" 23 -0.43055661483918
"walking" 24 -0.390526282476396
"walking" 25 -0.352656383994648
"walking" 26 -0.351816427786042
"walking" 27 -0.3211900616245
"walking" 28 -0.436306077297177
"walking" 29 -0.259518117088663
"walking" 30 -0.416975175176002
"walking_upstairs" 1 -0.440146451770759
"walking_upstairs" 2 -0.417935697844961
"walking_upstairs" 3 -0.401431355861112
"walking_upstairs" 4 -0.410573915467575
"walking_upstairs" 5 -0.354894457782032
"walking_upstairs" 6 -0.34663122613803
"walking_upstairs" 7 -0.338120588567827
"walking_upstairs" 8 -0.317967210349523
"walking_upstairs" 9 -0.395461832518301
"walking_upstairs" 10 -0.35731860193547
"walking_upstairs" 11 -0.369261278172421
"walking_upstairs" 12 -0.367105958234932
"walking_upstairs" 13 -0.364311274093053
"walking_upstairs" 14 -0.48551223324769
"walking_upstairs" 15 -0.419434221365258
"walking_upstairs" 16 -0.417538298875332
"walking_upstairs" 17 -0.419553320279812
"walking_upstairs" 18 -0.388972418757941
"walking_upstairs" 19 -0.377303129114945
"walking_upstairs" 20 -0.306019441148959
"walking_upstairs" 21 -0.421953624983138
"walking_upstairs" 22 -0.383363216432618
"walking_upstairs" 23 -0.404335461118708
"walking_upstairs" 24 -0.393720911542089
"walking_upstairs" 25 -0.400600469326969
"walking_upstairs" 26 -0.389142610629901
"walking_upstairs" 27 -0.416854699535163
"walking_upstairs" 28 -0.4584225572255
"walking_upstairs" 29 -0.339437469068877
"walking_upstairs" 30 -0.431719868129222
"walking_downstairs" 1 -0.339080301791712
"walking_downstairs" 2 -0.299644503543677
"walking_downstairs" 3 -0.365194496888334
"walking_downstairs" 4 -0.312869889709004
"walking_downstairs" 5 -0.102772938218049
"walking_downstairs" 6 -0.218250392164419
"walking_downstairs" 7 -0.281507857749316
"walking_downstairs" 8 -0.263816843951008
"walking_downstairs" 9 -0.342050372217531
"walking_downstairs" 10 -0.267928851370959
"walking_downstairs" 11 -0.192048944123037
"walking_downstairs" 12 -0.239908982149603
"walking_downstairs" 13 -0.253060695989975
"walking_downstairs" 14 -0.429924410531157
"walking_downstairs" 15 -0.331545244565805
"walking_downstairs" 16 -0.317842590345869
"walking_downstairs" 17 -0.314891978876361
"walking_downstairs" 18 -0.301137862031327
"walking_downstairs" 19 -0.291583714344347
"walking_downstairs" 20 -0.203378373864087
"walking_downstairs" 21 -0.345591622530719
"walking_downstairs" 22 -0.260607584967422
"walking_downstairs" 23 -0.363790441016887
"walking_downstairs" 24 -0.280227328116279
"walking_downstairs" 25 -0.289933596060383
"walking_downstairs" 26 -0.323758062639404
"walking_downstairs" 27 -0.300872913447106
"walking_downstairs" 28 -0.438663811185222
"walking_downstairs" 29 -0.247169665420288
"walking_downstairs" 30 -0.359085991984149
"sitting" 1 -0.648845392004185
"sitting" 2 -0.633405230612481
"sitting" 3 -0.64409810716059
"sitting" 4 -0.622780836987975
"sitting" 5 -0.638986666530727
"sitting" 6 -0.644724493205524
"sitting" 7 -0.637614861645669
"sitting" 8 -0.633686910305869
"sitting" 9 -0.627014833570021
"sitting" 10 -0.624668534554673
"sitting" 11 -0.637579785441219
"sitting" 12 -0.628266377322219
"sitting" 13 -0.638152394370444
"sitting" 14 -0.644388315061501
"sitting" 15 -0.642718508921569
"sitting" 16 -0.647329814034974
"sitting" 17 -0.637322526513564
"sitting" 18 -0.636081608692103
"sitting" 19 -0.644100724926612
